"Data_Zone","Intermediate_Zone","Council_area","Total_population","Working_age_population","Income_rate","Income_count","Employment_rate","Employment_count","CIF","ALCOHOL","DRUG","SMR","DEPRESS","LBWT","EMERG","Attendance","Attainment","no_qualifications","not_participating","University","drive_petrol","drive_GP","drive_post","drive_primary","drive_retail","drive_secondary","PT_GP","PT_post","PT_retail","Broadband","crime_count","crime_rate","overcrowded_count","nocentralheat_count","overcrowded_rate","nocentralheat_rate"
"S01010476","Anniesland West","Glasgow City",1182,796,0.11,130,0.06,50,120,128.6754132,46.89165626,138.335956,0.188356164,0.044444444,102.1155152,0.80526,5.6,68.73150417,0.05,0.121429,1.242380725,1.259868798,2.219649332,2.802876344,2.856665076,3.238347458,4.022805344,5.280467557,8.947626431,0,26.123168447725,221.008193297166,120,21,0.118226601,0.020689655
"S01009993","Kingspark South","Glasgow City",870,588,0.11,99,0.06,37,95,111.5996246,61.35153775,54.13405985,0.155737705,0.063829787,80.04489685,0.80603,5.76,111.6267569,0.028571429,0.08871,2.343184019,2.820272397,2.558132567,2.213318584,2.827944915,3.901384615,12.09771186,9.526289346,11.32975484,0,16.0757959678308,184.779263998055,120,6,0.14527845,0.007263923
"S01010218","Springburn East and Cowlairs","Glasgow City",1120,822,0.3,335,0.22,182,195,473.5007045,304.7089896,126.4062679,0.247714808,0.044776119,156.7535607,0.74806,5.3333333333,187.2984436,0.043859649,0.057803,1.897315815,1.31388998,2.285427308,1.828176692,3.263853143,3.300770393,3.167436149,8.473617387,7.744825639,0,84.3979288311116,753.552935992068,239,46,0.234774067,0.04518664
"S01010053","Parkhead West and Barrowfield","Glasgow City",999,690,0.27,267,0.14,95,185,239.3491086,93.31325379,223.0282988,0.188911704,0.083333333,157.148847,0.75556,5.1578947368,212.8909779,0.06122449,0.033816,2.097721187,2.812793946,2.801877183,2.810031746,4.064240396,4.182886598,8.469027939,9.446979045,10.93795693,0,52.24633689545,522.98635530981,308,31,0.358556461,0.036088475
"S01010230","Roystonhill, Blochairn, and Provanmill","Glasgow City",987,690,0.42,414,0.33,229,240,487.5102049,281.1975068,160.9164209,0.208163265,0.123595506,180.927322,0.875,4.8461538462,219.5516874,0.053571429,0.033708,3.302982587,3.426310945,1.530064677,1.640568627,3.497261194,2.565,9.808236318,6.33619403,14.19082836,0,79.3742425911645,804.196986739255,350,55,0.348258706,0.054726368
"S01009914","Maxwell Park","Glasgow City",969,608,0.05,51,0.03,19,50,29.01868369,0,50.16823451,0.137373737,0.027027027,58.86984166,0.79688,5.619047619,63.48464536,0,0.211864,4.721732724,3.325678354,4.163290142,3.120555556,4.785655488,2.209887006,11.81535061,12.5946748,16.27880843,0.00248139,18.0852704638096,186.638498078531,106,12,0.108384458,0.012269939
"S01010097","Garrowhill West","Glasgow City",727,490,0.08,56,0.06,31,95,89.43759315,0,75.2977765,0.173972603,0.05,102.5641834,0.86188,5.4090909091,103.4351382,0.00990099,0.084615,2.725598639,3.976612245,3.345867347,3.055655172,6.00212585,3.532952756,7.924360544,8.942863946,12.69169388,0.003225806,14.0663214718519,193.484476916808,93,4,0.127222982,0.005471956
"S01009830","Hillington","Glasgow City",764,499,0.2,155,0.12,58,145,90.43258781,36.56500339,100.3001866,0.216041397,0,103.572851,0.74879,5,148.4524314,0.05,0.019231,2.445746753,1.605090909,2.551925325,2.765731132,2.877357143,4.592052239,7.157584416,7.93025974,8.638837662,0.177514793,15.0710587198414,197.26516649007,115,24,0.149350649,0.031168831
"S01009886","Pollokshields East","Glasgow City",779,511,0.24,189,0.11,54,150,72.53922516,34.08703096,106.7952858,0.14559387,0.043478261,129.6458085,0.77273,6.0333333333,139.6114474,0.014388489,0.146497,4.460741082,0.977733702,1.448121156,1.261934307,1.668425584,2.892331731,2.789163592,5.0700492,4.052546125,0.107142857,24.1136939517462,309.546777300978,349,42,0.429274293,0.051660517
"S01010213","Springburn","Glasgow City",912,573,0.24,220,0.16,91,210,138.3597055,35.61840985,118.7875845,0.287878788,0.129032258,180.7633142,0.75714,5.4333333333,218.6209842,0.018348624,0.056911,1.732305195,2.564726732,1.445373377,1.161226415,2.911709957,3.668834586,7.708939394,6.101117424,7.236412338,0,24.1136939517462,264.404538944585,171,12,0.185064935,0.012987013
